number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_cat_l2,params_cat_smooth,params_extra_trees,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_cat_to_onehot,params_min_data_in_leaf,params_min_data_per_group,params_num_leaves,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.24622617292982696,2026-06-24 04:59:20.756441,2026-06-24 04:59:22.576026,0 days 00:00:01.819585,,,,,,,,,,,,,,37,{},COMPLETE
1,0.24552416411762268,2026-06-24 04:59:22.589380,2026-06-24 04:59:28.017879,0 days 00:00:05.428499,0.9195981825434215,1.0,0.18327672955935934,3.4702669886504163,False,0.9704285838459497,0.9699128611767781,1.6649020373367633,0.015355286838886862,8.0,1.0,57.0,28.0,204,,COMPLETE
2,0.24505307549948974,2026-06-24 04:59:28.031884,2026-06-24 04:59:35.347048,0 days 00:00:07.315164,0.7550213529560301,1.0,0.01153297626310632,0.028888383623653185,False,0.5090949803242604,0.4561243772186142,1.5703734051898879,0.009445600138094694,19.0,6.0,20.0,7.0,807,,COMPLETE
3,0.2619464734824204,2026-06-24 04:59:35.360067,2026-06-24 04:59:40.388801,0 days 00:00:05.028734,0.8777243706586128,1.0,1.6278053965878447,11.015056790269638,False,0.708540663048167,0.09776234679498323,1.3684976297216627,0.009093929525644107,17.0,10.0,81.0,2.0,1000,,COMPLETE
4,0.25511487549925005,2026-06-24 04:59:40.397134,2026-06-24 04:59:45.368589,0 days 00:00:04.971455,0.848553073033381,1.0,0.11277639166461569,0.5414413211338525,True,0.47322294090686734,0.9695876693017821,1.550288133439893,0.01869052934095898,12.0,42.0,6.0,2.0,1000,,COMPLETE
5,0.2541863200086615,2026-06-24 04:59:45.377285,2026-06-24 04:59:51.724588,0 days 00:00:06.347303,0.8793699936433255,1.0,0.0513253156994884,0.022737628102536857,False,0.9368964102565893,0.3568176513609199,0.5619409259237927,0.08342309693146736,64.0,1.0,6.0,137.0,18,,COMPLETE
6,0.2497524390781063,2026-06-24 04:59:51.733482,2026-06-24 04:59:56.728908,0 days 00:00:04.995426,0.9406590942262119,1.0,0.6619871537619337,3.4220529032706923,False,0.4845545349848576,0.7712932196512772,0.1481818990030073,0.025411709798607296,50.0,61.0,2.0,2.0,1000,,COMPLETE
7,0.24323720833626594,2026-06-24 04:59:56.750193,2026-06-24 05:00:01.693850,0 days 00:00:04.943657,0.958931027762678,1.0,0.3957756313952873,1.5409457762881555,True,0.4695214357150779,0.4722677036694331,0.23927653245200955,0.014633380642745364,75.0,2.0,6.0,32.0,248,,COMPLETE
8,0.24656988985423778,2026-06-24 05:00:01.705838,2026-06-24 05:00:05.378413,0 days 00:00:03.672575,0.8683831592708489,1.0,0.009543550367992308,0.0014359718569878096,False,0.8564710291701385,0.314424545478219,1.017190525260289,0.042356773126632795,39.0,6.0,2.0,65.0,30,,COMPLETE
9,0.24587116109358897,2026-06-24 05:00:05.387021,2026-06-24 05:00:08.238897,0 days 00:00:02.851876,0.8231148769106889,1.0,1.3124992669799407,10.979988817809668,True,0.549575337489325,0.871473444128699,1.607363786590539,0.07581256838789621,39.0,2.0,3.0,61.0,47,,COMPLETE
10,0.24400275022646944,2026-06-24 05:00:08.248096,2026-06-24 05:00:18.938145,0 days 00:00:10.690049,0.9908611332363597,1.0,0.03512175732792625,55.54162315706866,True,0.6839963928728011,0.5905156421247704,0.02569074131920096,0.005556572437269131,99.0,19.0,23.0,12.0,998,,COMPLETE
11,0.243900485253861,2026-06-24 05:00:18.947247,2026-06-24 05:00:30.094825,0 days 00:00:11.147578,0.9984567420564903,1.0,0.03352561511977935,52.38654328518467,True,0.6606137630538468,0.6091129560474012,0.07101727097318089,0.005738601544760158,100.0,21.0,22.0,14.0,998,,COMPLETE
