number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_grow_policy,params_learning_rate,params_max_cat_to_onehot,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_optimal_trees,system_attrs_fixed_params,state
0,0.2593251575110749,2026-06-24 12:44:57.652313,2026-06-24 12:45:00.714865,0 days 00:00:03.062552,,,,,,,,,,,,17,{},COMPLETE
1,0.2316171489389678,2026-06-24 12:45:00.732407,2026-06-24 12:45:39.434323,0 days 00:00:38.701916,0.6624074561769746,0.662397808134481,lossguide,0.015355286838886862,8.0,10.0,884.0,0.5100627805979911,0.29051225247978046,4.330894111260099,0.8394633936788146,256,,COMPLETE
2,0.23620638177672815,2026-06-24 12:45:39.447482,2026-06-24 12:45:41.850778,0 days 00:00:02.403296,0.7216968971838151,0.8099025726528951,depthwise,0.060534484680010825,16.0,4.0,45.0,0.004705059281907645,2.1597818987087147,1.4562165780761898,0.6733618039413735,48,,COMPLETE
3,0.23281575562590695,2026-06-24 12:45:41.859534,2026-06-24 12:45:59.152188,0 days 00:00:17.292654,0.836965827544817,0.6185801650879991,lossguide,0.019603369861210685,92.0,8.0,399.0,0.005477562363971304,3.037763505022002,0.8527035660240889,0.8056937753654446,148,,COMPLETE
4,0.23078594750772397,2026-06-24 12:45:59.161080,2026-06-24 12:46:07.606557,0 days 00:00:08.445477,0.6488152939379115,0.798070764044508,lossguide,0.012453219846912198,17.0,4.0,97.0,0.33959199243313637,0.17203916672398045,4.546611078353703,0.7760609974958406,323,,COMPLETE
5,0.23265266033785392,2026-06-24 12:46:07.619649,2026-06-24 12:46:14.442374,0 days 00:00:06.822725,0.9757995766256756,0.9579309401710595,lossguide,0.025719142025384646,8.0,4.0,37.0,3.8589082671053854,2.989540104057545,4.609378987692081,0.9100531293444458,202,,COMPLETE
6,0.23233485445052993,2026-06-24 12:46:14.451078,2026-06-24 12:46:22.448156,0 days 00:00:07.997078,0.7123738038749523,0.8170784332632994,lossguide,0.016019568611465234,56.0,5.0,20.0,1.1627201204016835,0.7047070324513158,4.011004684072123,0.7427013306774357,205,,COMPLETE
7,0.23268884603733264,2026-06-24 12:46:22.456251,2026-06-24 12:46:33.044879,0 days 00:00:10.588628,0.9085081386743783,0.6296178606936361,depthwise,0.0050834018700114374,18.0,9.0,10.0,0.4117599592262879,1.7923927961485087,0.5794337107196961,0.8916028672163949,592,,COMPLETE
8,0.23398698481324576,2026-06-24 12:46:33.053578,2026-06-24 12:46:40.145102,0 days 00:00:07.091524,0.9548850970305306,0.7888859700647797,depthwise,0.012693089228250284,55.0,5.0,85.0,0.49979438035802604,0.5980592702669147,3.566252611636253,0.8550229885420852,242,,COMPLETE
9,0.23147168671185803,2026-06-24 12:46:40.153215,2026-06-24 12:46:45.751026,0 days 00:00:05.597811,0.6125716742746937,0.8545641645055122,depthwise,0.02393652463662192,22.0,6.0,308.0,0.0012417226051008223,1.5718484697835258,2.542902598754398,0.6431565707973218,122,,COMPLETE
